word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
电影院,電影院,diàn yǐng yuàn,dian4 ying3 yuan4,1,一级,"cinema; movie theater/CL:家[jia1],座[zuo4]"
动,動,dòng,dong4,1,一级,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for 動詞|动词[dong4 ci2], verb"
东,東,dōng,dong1,1,一级,east/host (i.e. sitting on east side of guest)/landlord
东边,東邊,dōng biān,dong1 bian1,1,一级,east/east side/eastern part/to the east of
东西,東西,dōng xī,dong1 xi1,1,一级,"thing/stuff/person/CL:個|个[ge4],件[jian4]"
动作,動作,dòng zuò,dong4 zuo4,1,一级,movement; motion; action (CL:個|个[ge4])/to act; to move
都,都,dōu,dou1,1,一级,capital city/metropolis
读,讀,dú,du2,1,一级,to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce
读书,讀書,dú shū,du2 shu1,1,一级,to read a book/to study/to attend school
对,對,duì,dui4,1,一级,right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair
对不起,對不起,duì bù qǐ,dui4 bu4 qi3,1,一级,I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint
多,多,duō,duo1,1,一级,many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-
多少,多少,duō shǎo,duo1 shao3,1,一级,"how much?; how many?/(phone number, student ID etc) what number?"
饿,餓,è,e4,1,一级,to be hungry/hungry/to starve (sb)
二,二,èr,er4,1,一级,two/2/(Beijing dialect) stupid
儿子,兒子,ér zi,er2 zi,1,一级,son
饭,飯,fàn,fan4,1,一级,cooked rice/CL:碗[wan3]/meal/CL:頓|顿[dun4]/(loanword) fan/devotee
饭店,飯店,fàn diàn,fan4 dian4,1,一级,"restaurant/hotel/CL:家[jia1],個|个[ge4]"
放,放,fàng,fang4,1,一级,to put/to place/to release/to free/to let go/to let out/to set off (fireworks)
放学,放學,fàng xué,fang4 xue2,1,一级,to dismiss students at the end of the school day
放假,放假,fàng jià,fang4 jia4,1,一级,to have a holiday or vacation
房间,房間,fáng jiān,fang2 jian1,1,一级,"room/CL:間|间[jian1],個|个[ge4]"
房子,房子,fáng zi,fang2 zi,1,一级,"house/building (single- or two-story)/apartment/room/CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]"
飞,飛,fēi,fei1,1,一级,to fly
非常,非常,fēi cháng,fei1 chang2,1,一级,very; really/unusual; extraordinary
飞机,飛機,fēi jī,fei1 ji1,1,一级,airplane/CL:架[jia4]
分,分,fēn,fen1,1,一级,part/share/ingredient/component
风,風,fēng,feng1,1,一级,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]"
干,"乾,乹,干,幹,亁",gàn,gan4,1,一级,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed
干,"乾,乹,干,幹,亁",gàn,gan4,1,一级,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed
干净,乾淨,gān jìng,gan1 jing4,1,一级,clean/neat
干什么,幹什麼,gàn shén me,gan4 shen2 me,1,一级,what are you doing?/what's he up to?
高,高,gāo,gao1,1,一级,high/tall/above average/loud/your (honorific)
告诉,告訴,gào sù,gao4 su4,1,一级,to tell; to inform; to let know
高兴,高興,gāo xìng,gao1 xing4,1,一级,happy/glad/willing (to do sth)/in a cheerful mood
歌,"歌,謌",gē,ge1,1,一级,variant of 歌[ge1]
哥哥,哥哥,gē gē,ge1 ge1,1,一级,"older brother/CL:個|个[ge4],位[wei4]"
个,"個,箇",gè,ge4,1,一级,variant of 個|个[ge4]
给,給,gěi,gei3,1,一级,to supply/to provide
跟,跟,gēn,gen1,1,一级,heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)
工人,工人,gōng rén,gong1 ren2,1,一级,"worker/CL:個|个[ge4],名[ming2]"
