hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
顾,顧,gù,gu4,2,初等|二级,to look after; to take into consideration; to attend to
咱,咱,zán,zan2,2,初等|二级,variant of 咱[zan2]
河,河,hé,he2,2,初等|二级,"river/CL:條|条[tiao2],道[dao4]"
报,報,bào,bao4,2,初等|二级,"to announce/to inform/report/newspaper/recompense/revenge/CL:份[fen4],張|张[zhang1]"
味,味,wèi,wei4,2,初等|二级,taste/smell/(fig.) (noun suffix) feel/quality/sense/(TCM) classifier for ingredients of a medicine prescription
租,租,zū,zu1,2,初等|二级,to hire/to rent/to charter/to rent out/to lease out/rent/land tax
喊,喊,hǎn,han3,2,初等|二级,to yell/to shout/to call out for (a person)
灯,燈,dēng,deng1,2,初等|二级,lamp/light/lantern/CL:盞|盏[zhan3]
空,空,kōng,kong1,2,初等|二级,to empty/vacant/unoccupied/space/leisure/free time
青,青,qīng,qing1,2,初等|二级,green/blue/black/youth/young (of people)
吹,吹,chuī,chui1,2,初等|二级,to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through
园,園,yuán,yuan2,2,初等|二级,"land used for growing plants/site used for public recreation/abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc"
绿,綠,lǜ,lv4,2,初等|二级,green/(slang) (derived from 綠帽子|绿帽子[lu:4 mao4 zi5]) to cheat on (one's spouse or boyfriend or girlfriend)
练,練,liàn,lian4,2,初等|二级,to practice/to train/to drill/to perfect (one's skill)/exercise/(literary) white silk/to boil and scour raw silk
食,食,shí,shi2,2,初等|二级,to feed (a person or animal)
合,合,hé,he2,2,初等|二级,variant of 合[he2]
适,適,shì,shi4,2,初等|二级,to fit/suitable/proper/just (now)/comfortable/well/to go/to follow or pursue
骑,騎,qí,qi2,2,初等|二级,"to sit astride/to ride (a horse, bike etc)/classifier for saddle horses"
久,久,jiǔ,jiu3,2,初等|二级,(long) time/(long) duration of time
礼,禮,lǐ,li3,2,初等|二级,gift/rite/ceremony/CL:份[fen4]/propriety/etiquette/courtesy
湖,湖,hú,hu2,2,初等|二级,"lake/CL:個|个[ge4],片[pian4]"
随,隨,suí,sui2,2,初等|二级,to follow/to comply with/varying according to.../to allow/subsequently
喂,喂餵,wèi,wei4,2,初等|二级,to feed
爬,爬,pá,pa2,2,初等|二级,to crawl/to climb/to get up or sit up
宜,宜,yí,yi2,2,初等|二级,proper/should/suitable/appropriate
处,處,chù,chu4,2,初等|二级,"place/location/spot/point/office/department/bureau/respect/classifier for locations or items of damage: spot, point"
云,云雲,yún,yun2,2,初等|二级,cloud/CL:朵[duo3]
铁,鐵,tiě,tie3,2,初等|二级,iron (metal)/arms/weapons/hard/strong/violent/unshakeable/determined/close/tight (slang)
草,草,cǎo,cao3,2,初等|二级,variant of 肏[cao4]
业,業,yè,ye4,2,初等|二级,line of business/industry/occupation/job/employment/school studies/enterprise/property/(Buddhism) karma/deed/to engage in/already
夏,夏,xià,xia4,2,初等|二级,summer
例,例,lì,li4,2,初等|二级,example/precedent/rule/case/instance
疼,疼,téng,teng2,2,初等|二级,(it) hurts; sore/to love dearly
复,復複,fù,fu4,2,初等|二级,variant of 復|复[fu4]/to reply to a letter
晨,晨,chén,chen2,2,初等|二级,morning/dawn/daybreak
碗,碗,wǎn,wan3,2,初等|二级,"bowl/cup/CL:隻|只[zhi1],個|个[ge4]"
碰,碰,pèng,peng4,2,初等|二级,old variant of 碰[peng4]
姓,姓,xìng,xing4,2,初等|二级,family name/surname/CL:個|个[ge4]/to be surnamed
静,靜,jìng,jing4,2,初等|二级,still/calm/quiet/not moving
舒,舒,shū,shu1,2,初等|二级,to stretch/to unfold/to relax/leisurely
冬,鼕冬,dōng,dong1,2,初等|二级,(onom.) beating a drum/rat-a-tat
斤,斤,jīn,jin1,2,初等|二级,"catty/(PRC) weight equal to 500 g/(Tw) weight equal to 600 g/(HK, Malaysia, Singapore) slightly over 604 g"
于,於于,yú,yu2,2,初等|二级,(of time or place) in; at; on/(indicating any indirect relation) to; toward; vis-à-vis; with regard to; for/(indicating a source) from; out of/(used in comparison) than/(used in the passive voice) by
刻,刻,kè,ke4,2,初等|二级,quarter (hour)/moment/to carve/to engrave/to cut/oppressive/classifier for short time intervals
熟,熟,shú,shu2,2,初等|二级,ripe; mature/thoroughly cooked; done/familiar; acquainted/experienced; skilled/(of sleep etc) deep; profound/also pr. [shou2]
温,溫,wēn,wen1,2,初等|二级,warm; lukewarm/to warm up/(bound form) temperature/(bound form) mild; soft; tender/to review (a lesson etc)/(TCM) fever/epidemic; pestilence (old variant of 瘟[wen1])
忽,忽,hū,hu1,2,初等|二级,to neglect/to overlook/to ignore/suddenly
篮,籃,lán,lan2,2,初等|二级,basket (receptacle)/basket (in basketball)
阴,陰,yīn,yin1,2,初等|二级,variant of 陰|阴[yin1]
春,春,chūn,chun1,2,初等|二级,spring (season)/gay/joyful/youthful/love/lust/life
餐,餐,cān,can1,2,初等|二级,meal/to eat/classifier for meals
共,共,gòng,gong4,2,初等|二级,"common/general/to share/together/total/altogether/abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party"
澡,澡,zǎo,zao3,2,初等|二级,bath
凉,涼,liáng,liang2,2,初等|二级,to let sth cool down
椅,椅,yǐ,yi3,2,初等|二级,chair
脏,髒臟,zàng,zang4,2,初等|二级,dirty/filthy/to get (sth) dirty
晴,晴,qíng,qing2,2,初等|二级,clear/fine (weather)
堂,堂,táng,tang2,2,初等|二级,"(main) hall/large room for a specific purpose/CL:間|间[jian1]/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for classes, lectures etc/classifier for sets of furniture"
饱,飽,bǎo,bao3,2,初等|二级,to eat till full/satisfied
秋,秋,qiū,qiu1,2,初等|二级,see 鞦韆|秋千[qiu1 qian1]
护,護,hù,hu4,2,初等|二级,to protect
印,印,yìn,yin4,2,初等|二级,to print/to mark/to engrave/a seal/a print/a stamp/a mark/a trace/image
筷,筷,kuài,kuai4,2,初等|二级,chopstick
饺,餃,jiǎo,jiao3,2,初等|二级,dumplings with meat filling
典,典,diǎn,dian3,2,初等|二级,canon/law/standard work of scholarship/literary quotation or allusion/ceremony/to be in charge of/to mortgage or pawn
板,板闆,bǎn,ban3,2,初等|二级,to catch sight of in a doorway (old)
王,王,wáng,wang2,2,初等|二级,to rule/to reign over
被,被,bèi,bei4,3,初等|三级,"quilt/to cover (with)/(literary) to suffer (a misfortune)/used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)/(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3 you2] to ""go on a trip"", for example)"
把,把,bǎ,ba3,3,初等|三级,handle
并,並併,bìng,bing4,3,初等|三级,variant of 並|并[bing4]
始,始,shǐ,shi3,3,初等|三级,to begin/to start/then/only then
极,極,jí,ji2,3,初等|三级,"extremely/pole (geography, physics)/utmost/top"
种,種,zhǒng,zhong3,3,初等|三级,to plant/to grow/to cultivate
需,需,xū,xu1,3,初等|三级,to require/to need/to want/necessity/need
希,希,xī,xi1,3,初等|三级,to hope/to admire/variant of 稀[xi1]
望,朢望,wàng,wang4,3,初等|三级,15th day of month (lunar calendar)/old variant of 望[wang4]
况,況,kuàng,kuang4,3,初等|三级,moreover/situation
世,世,shì,shi4,3,初等|三级,life/age/generation/era/world/lifetime/epoch/descendant/noble
界,界,jiè,jie4,3,初等|三级,(bound form) boundary; border/(bound form) realm
内,內,nèi,nei4,3,初等|三级,inside/inner/internal/within/interior
每,每,měi,mei3,3,初等|三级,each/every
美,美,měi,mei3,3,初等|三级,beautiful/very satisfactory; good/to beautify/to be pleased with oneself
继,繼,jì,ji4,3,初等|三级,to continue/to follow after/to go on with/to succeed/to inherit/then/afterwards
续,續,xù,xu4,3,初等|三级,to continue/to replenish
张,張,zhāng,zhang1,3,初等|三级,"to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes"
总,總,zǒng,zong3,3,初等|三级,general; overall/to sum up/in every case; always; invariably/anyway; after all; eventually; sooner or later/surely/(after a person's name) abbr. for 總經理|总经理[zong3 jing1 li3] or 總編|总编[zong3 bian1] etc
